ts,cash,equity,open_positions,exposure
2023-01-03 00:00:00+00:00,100000.0,100000.0,0,0.0
2023-01-04 00:00:00+00:00,66738.2,99844.52,1,33106.32
2023-01-05 00:00:00+00:00,66738.2,99493.44,1,32755.24
2023-01-06 00:00:00+00:00,66738.2,100698.64,1,33960.44
2023-01-09 00:00:00+00:00,66738.2,100837.5,1,34099.3
2023-01-10 00:00:00+00:00,66738.2,100989.46,1,34251.26
2023-01-11 00:00:00+00:00,66738.2,101712.58,1,34974.38
2023-01-12 00:00:00+00:00,66738.2,101691.62,1,34953.42
2023-01-13 00:00:00+00:00,66738.2,102045.32,1,35307.12
2023-01-17 00:00:00+00:00,66738.2,102354.48,1,35616.28
2023-01-18 00:00:00+00:00,66738.2,102163.22,1,35425.02
2023-01-19 00:00:00+00:00,66738.2,102178.94,1,35440.74
2023-01-20 00:00:00+00:00,66738.2,102860.14,1,36121.94
2023-01-23 00:00:00+00:00,66738.2,103709.02,1,36970.82
2023-01-24 00:00:00+00:00,66738.2,104081.06,1,37342.86
2023-01-25 00:00:00+00:00,66738.2,103905.52,1,37167.32
2023-01-26 00:00:00+00:00,66738.2,104455.72,1,37717.52
2023-01-27 00:00:00+00:00,66738.2,104971.86,1,38233.66
2023-01-30 00:00:00+00:00,66738.2,104204.2,1,37466.0
2023-01-31 00:00:00+00:00,66738.2,104542.18,1,37803.98
2023-02-01 00:00:00+00:00,66738.2,104840.86,1,38102.66
2023-02-02 00:00:00+00:00,66738.2,106253.04,1,39514.84
2023-02-03 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-02-06 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-02-07 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-02-08 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-02-09 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-02-10 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-02-13 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-02-14 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-02-15 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-02-16 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-02-17 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-02-21 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-02-22 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-02-23 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-02-24 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-02-27 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-02-28 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-03-01 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-03-02 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-03-03 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-03-06 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-03-07 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-03-08 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-03-09 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-03-10 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-03-13 00:00:00+00:00,105502.67,105502.67,0,0.0
2023-03-14 00:00:00+00:00,70340.09,105595.79,1,35255.7
2023-03-15 00:00:00+00:00,70340.09,105375.29,1,35035.2
2023-03-16 00:00:00+00:00,70340.09,105989.99,1,35649.9
2023-03-17 00:00:00+00:00,70340.09,105439.19,1,35099.1
2023-03-20 00:00:00+00:00,70340.09,105776.69,1,35436.6
2023-03-21 00:00:00+00:00,70340.09,106241.99,1,35901.9
2023-03-22 00:00:00+00:00,70340.09,105629.99,1,35289.9
2023-03-23 00:00:00+00:00,70340.09,105725.39,1,35385.3
2023-03-24 00:00:00+00:00,70340.09,105957.59,1,35617.5
2023-03-27 00:00:00+00:00,70340.09,106024.19,1,35684.1
2023-03-28 00:00:00+00:00,70340.09,105944.09,1,35604.0
2023-03-29 00:00:00+00:00,70340.09,106461.59,1,36121.5
2023-03-30 00:00:00+00:00,70340.09,106673.09,1,36333.0
2023-03-31 00:00:00+00:00,70340.09,107185.19,1,36845.1
2023-04-03 00:00:00+00:00,70340.09,107325.59,1,36985.5
2023-04-04 00:00:00+00:00,70340.09,107120.39,1,36780.3
2023-04-05 00:00:00+00:00,70340.09,107024.09,1,36684.0
2023-04-06 00:00:00+00:00,70340.09,107167.19,1,36827.1
2023-04-10 00:00:00+00:00,70340.09,107204.99,1,36864.9
2023-04-11 00:00:00+00:00,70340.09,107214.89,1,36874.8
2023-04-12 00:00:00+00:00,70340.09,107064.59,1,36724.5
2023-04-13 00:00:00+00:00,70340.09,107552.39,1,37212.3
2023-04-14 00:00:00+00:00,70340.09,107461.49,1,37121.4
2023-04-17 00:00:00+00:00,70340.09,107594.69,1,37254.6
